Referencia,Artículo,Subartículo,Departamento,Sección,Almacén,Stock Ini.,Compra,Venta,Entrada,Salida,Fabricación,Depósito,Préstamo,Ajuste,Stock Fin.,Stock Fin. %ST,Coste Ini.,Coste Compra,Coste Venta,Coste Entrada,Coste Salida,Coste Fabricación,Coste Depósito,Coste Préstamo,Coste Ajuste,Coste Fin.,Coste Fin. %ST
IC78,SAMPIC LIMPIAPISOS PL,,,,BODEGA,4,0,0,0,0,0,0,0,0,4,"2,717",76.000.000,0,0,0,0,0,0,0,0,76.000.000,"6,713,003"
EI51,REFRIGERADOR 3 PUE IND,,,,SAN ANDRESITO DE LA 38,30,0,0,0,0,0,0,0,0,30,204,75.000.000,0,0,0,0,0,0,0,0,75.000.000,"6,624,674"
EI61,HORNO PRACTICO MODELO FIT XL,,,,BAHIA MERCURIO,2,0,0,0,0,0,0,0,0,2,14,62.765.360,0,0,0,0,0,0,0,0,62.765.360,"5,544,001"
EI61,HORNO PRACTICO MODELO FIT XL,,,,GRAN ESTACION,2,0,0,0,0,0,0,0,0,2,14,62.765.360,0,0,0,0,0,0,0,0,62.765.360,"5,544,001"
EI61,HORNO PRACTICO MODELO FIT XL,,,,MALL PLAZA,2,0,0,0,0,0,0,0,0,2,14,62.765.360,0,0,0,0,0,0,0,0,62.765.360,"5,544,001"
EI61,HORNO PRACTICO MODELO FIT XL,,,,DIVER PLAZA,1,0,0,0,0,0,0,0,0,1,7,31.382.680,0,0,0,0,0,0,0,0,31.382.680,"2,772"
EI61,HORNO PRACTICO MODELO FIT XL,,,,ENSUEÑO,1,0,0,0,0,0,0,0,0,1,7,31.382.680,0,0,0,0,0,0,0,0,31.382.680,"2,772"
EI61,HORNO PRACTICO MODELO FIT XL,,,,NUESTRO BOGOTA,1,0,0,0,0,0,0,0,0,1,7,31.382.680,0,0,0,0,0,0,0,0,31.382.680,"2,772"
EI61,HORNO PRACTICO MODELO FIT XL,,,,TERREROS,1,0,0,0,0,0,0,0,0,1,7,31.382.680,0,0,0,0,0,0,0,0,31.382.680,"2,772"
EI61,HORNO PRACTICO MODELO FIT XL,,,,UNISUR,1,0,0,0,0,0,0,0,0,1,7,31.382.680,0,0,0,0,0,0,0,0,31.382.680,"2,772"
PI28,SALSA DE FRUTOS ROJO TORTA ARANDANO,,,,PLANTA,34.484,0,0,0,0,0,0,0,0,34.484,"234,234","20.847.895,3248",0,0,0,0,0,0,0,0,"20.847.895,3248","1,841,474"
EI05,CAPUCHINERA SIMONELLI,,,,CENTRO MAYOR,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
EI05,CAPUCHINERA SIMONELLI,,,,DIVER PLAZA,1,0,0,0,0,0,0,0,0,1,7,18.000.000,0,0,0,0,0,0,0,0,18.000.000,"1,589,922"
